country,region,gdp_2017,pop_2017,area,rail,road
Algeria,north,99722535234,41063753,2381740,4691,113655
Angola,central,31374141168,26655513,1246700,NA,51429
Benin,west,4732594367,11458611,114760,758,19e3
Botswana,south,11443275218,2343981,581730,888,25798
Burkina Faso,west,7013022439,19173322,274220,622,15271.6
Burundi,east,1215021410,11936481,27830,NA,12322
Cameroon,central,17940338306,24513689,475440,977,28857
Cape Verde,west,1129263677,533468,4030,NA,1350
Central African Republic,central,873967756,5098826,622980,NA,20278
Chad,central,4150723012,14965482,1284e3,NA,4e4
Comoros,east,294685870,825920,1861,NA,880
"Congo, Dem. Rep.",central,10774647957,82242685,2344860,3641,153497
"Congo, Rep.",central,5759941958,4866243,342e3,795,17e3
Cote d'Ivoire,west,18395731842,23815886,322460,639,81996
Djibouti,east,1194735681,911382,23200,781,3065
Egypt,north,194839401082,95215102,1001450,5195,137430
Equatorial Guinea,central,4555686010,894464,28050,NA,2880
Eritrea,east,1091533809,5481906,117600,NA,4010
Ethiopia,east,33810571855,104344901,1104300,781,44359
Gabon,central,8387822439,1801232,267670,810,9170
Gambia,west,723949020,2120418,11300,NA,3742
Ghana,west,19695099069,28656723,238540,953,109515
Guinea,west,5488850983,13290659,245860,NA,44348
Guinea-Bissau,west,364874673,1932871,36130,NA,3455
Kenya,east,28249427462,48466928,580370,1917,61947
Lesotho,south,1508143226,2185159,30360,NA,5940
Liberia,west,1052380371,4730437,111370,NA,10600
Libya,north,17156413089,6408742,1759540,NA,83200
Madagascar,east,6213110313,25612972,587295,854,37476
Malawi,east,3654313555,18298679,118480,797,15451
Mali,west,6064592958,18689966,1240190,733,22474
Mauritania,west,2054684582,4266448,1030700,728,10628
Mauritius,east,8526415702,1281353,2040,NA,2066
Morocco,north,77172157534,35241418,446550,2109,58395
Mozambique,east,13825209469,29537914,799380,3116,30331
Namibia,south,8092840678,2568569,824290,2382,44138
Niger,west,4128843534,21563607,1267e3,NA,19267
Nigeria,west,139858829913,191835936,923770,3528,193200
Rwanda,east,6026074089,12159586,26340,NA,14008
Sao Tome and Principe,central,170350912,198481,960,NA,320
Senegal,west,9726958910,16054275,196710,906,14785.1
Seychelles,east,1261674432,97539,460,NA,508
Sierra Leone,west,2118525826,6732899,72300,NA,11300
Somalia,east,118025139,11391962,637660,NA,22100
South Africa,south,210378257897,55436360,1219090,20500,362099
Sudan,north,27326589056,42166323,1879357.5,4313,11900
Swaziland,south,2213898723,1320356,17360,300,3594
Tanzania,east,31088871857,56877529,947300,2600,90807
Togo,west,2230203216,7691915,56790,NA,11652
Tunisia,north,33405603627,11494760,163610,2165,19418
Uganda,east,17619782908,41652938,241550,259,70746
Zambia,east,8602199057,17237931,752610,1273,66781
Zimbabwe,east,6068679934,16337760,390760,2583,97267
